CRR_Final_Prices,Empirical_Final_Prices
3112.719126506793,3099.9110046785236
2603.0855307097045,2029.2869325074394
3021.3289930181077,2337.1076364279047
2242.7396340646064,2077.6194452756044
1990.7246493617502,3099.9110046785217
2762.9451932619463,2508.1086287739067
2452.475096760915,2691.6213852028077
2176.8922940999596,2629.005093627751
2310.578745598362,2392.771664451112
2846.519650269984,2177.76536533817
1875.5444527159798,2229.634261076937
2932.622094398878,2077.619445275603
1932.2765260167596,2177.7653653381703
2681.82450110444,2077.6194452756044
2681.824501104445,2282.7385435051897
2380.4698764498266,2821.3635767741093
3112.7191265067877,2567.845470509924
2526.658354191203,2337.107636427909
1932.2765260167603,2337.107636427904
2932.622094398883,2077.619445275603
2603.085530709702,2691.621385202805
2310.5787455983586,2567.845470509923
1615.912281764063,2392.7716644511156
3834.7172440029744,2077.619445275604
2762.9451932619404,2127.103116981947
2603.0855307097017,2177.7653653381703
3206.8736582183665,2567.845470509923
2112.978246843295,2957.3596331594886
2603.085530709697,2229.634261076938
2603.0855307096995,2629.0050936277526
2452.4750967609125,2821.3635767741107
1932.2765260167598,2229.6342610769398
3206.8736582183724,2229.6342610769398
3112.719126506789,2337.107636427903
2112.9782468432963,2077.619445275604
2681.8245011044482,2337.1076364279043
3206.873658218367,2177.76536533817
2762.945193261948,3027.7965043283752
2242.739634064603,2177.7653653381703
2603.0855307097017,2567.845470509921
2242.7396340645996,3099.9110046785186
2603.085530709693,2337.107636427905
2762.9451932619486,2567.8454705099216
2681.824501104444,1982.0787987952165
2526.6583541912028,2629.005093627752
2310.5787455983595,2629.0050936277526
2380.4698764498266,2337.1076364279056
2762.9451932619518,3326.7246309411607
3112.7191265067945,2337.1076364279043
2932.622094398881,1982.0787987952172
2452.47509676091,2629.005093627755
2681.8245011044373,2755.729039415429
2846.519650269979,2629.0050936277535
3303.8762065615633,2957.3596331594904
2050.940730385965,2508.1086287739095
2681.8245011044432,2629.00509362775
3612.8465365765005,2957.359633159488
2603.0855307097004,2177.76536533817
3112.7191265067877,2567.8454705099225
2603.0855307096977,2691.6213852028045
2762.945193261949,2127.103116981948
2526.6583541912046,2177.765365338172
2762.9451932619477,2282.738543505193
3403.8129192616752,2337.1076364279043
2112.9782468432936,2567.845470509921
2762.9451932619545,2449.7614696732303
1990.7246493617513,2029.2869325074385
2310.578745598365,2337.1076364279056
2846.519650269989,3405.958847712299
2932.6220943988806,2821.3635767741116
3303.8762065615615,2029.2869325074396
1932.2765260167585,2177.76536533817
2681.824501104438,2077.619445275604
2452.475096760914,2821.363576774111
2846.5196502699896,2449.761469673228
2380.469876449822,2077.619445275604
2380.4698764498307,2229.634261076937
1820.4780458442356,2755.7290394154275
3021.3289930181063,2629.0050936277544
2380.469876449826,2567.8454705099216
2050.940730385966,2337.1076364279043
1820.4780458442353,2077.6194452756044
3021.328993018099,2127.1031169819457
2681.824501104435,2888.5613637965594
2380.469876449822,2229.6342610769393
2846.5196502699814,2392.771664451114
2846.519650269987,2282.7385435051906
2176.892294099962,3570.1337081637703
2452.475096760911,2508.108628773908
2762.945193261953,2229.6342610769398
2603.0855307096967,2567.8454705099225
2762.945193261946,2229.6342610769384
2310.5787455983623,2508.108628773908
2380.4698764498253,2077.619445275605
3112.719126506783,2755.7290394154275
2310.5787455983605,2821.3635767741107
2176.8922940999623,2629.005093627754
2762.9451932619463,2629.005093627751
