Price,Close
Ticker,UNVR.JK
Date,
2024-06-03,2754.323486328125
2024-06-04,2799.036376953125
2024-06-05,2745.381103515625
2024-06-06,2754.323486328125
2024-06-07,2691.725341796875
2024-06-10,2745.381103515625
2024-06-11,2736.438232421875
2024-06-12,2736.438232421875
2024-06-13,2736.438232421875
2024-06-14,2861.634765625
2024-06-19,2745.381103515625
2024-06-20,2718.552978515625
2024-06-21,2673.83984375
2024-06-24,2691.725341796875
2024-06-25,2691.725341796875
2024-06-26,2691.725341796875
2024-06-27,2754.323486328125
2024-06-28,2700.667724609375
2024-07-01,2716.267822265625
2024-07-02,2725.444580078125
2024-07-03,2697.914794921875
2024-07-04,2679.561279296875
2024-07-05,2670.384765625
2024-07-08,2798.857177734375
2024-07-09,2752.97412109375
2024-07-10,2716.267822265625
2024-07-11,2661.208251953125
2024-07-12,2679.561279296875
2024-07-15,2688.738037109375
2024-07-16,2578.619140625
2024-07-17,2624.502197265625
2024-07-18,2569.4423828125
2024-07-19,2569.4423828125
2024-07-22,2514.383056640625
2024-07-23,2505.20654296875
2024-07-24,2496.030029296875
2024-07-25,2284.968505859375
2024-07-26,2284.968505859375
2024-07-29,2257.43896484375
2024-07-30,2229.908935546875
2024-07-31,2239.0859375
2024-08-01,2294.14501953125
2024-08-02,2229.908935546875
2024-08-05,2211.555908203125
2024-08-06,2257.43896484375
2024-08-07,2275.792236328125
2024-08-08,2257.43896484375
2024-08-09,2257.43896484375
2024-08-12,2257.43896484375
2024-08-13,2248.262451171875
2024-08-14,2229.908935546875
2024-08-15,2184.026123046875
2024-08-16,2193.20263671875
2024-08-19,2165.673095703125
2024-08-20,2174.849609375
2024-08-21,2165.673095703125
2024-08-22,2156.496337890625
2024-08-23,2156.496337890625
2024-08-26,2156.496337890625
2024-08-27,2101.436767578125
2024-08-28,2064.730712890625
2024-08-29,2055.55419921875
2024-08-30,2083.083740234375
2024-09-02,2101.436767578125
2024-09-03,2064.730712890625
2024-09-04,2055.55419921875
2024-09-05,2037.200927734375
2024-09-06,2037.200927734375
2024-09-09,2009.6712646484375
2024-09-10,2028.0242919921875
2024-09-11,2009.6712646484375
2024-09-12,2037.200927734375
2024-09-13,2018.8477783203125
2024-09-17,2000.4945068359375
2024-09-18,2028.0242919921875
2024-09-19,2018.8477783203125
2024-09-20,1991.3179931640625
2024-09-23,2028.0242919921875
2024-09-24,2073.9072265625
2024-09-25,2110.61328125
2024-09-26,2110.61328125
2024-09-27,2083.083740234375
2024-09-30,2028.0242919921875
2024-10-01,2028.0242919921875
2024-10-02,1991.3179931640625
2024-10-03,2009.6712646484375
2024-10-04,1991.3179931640625
2024-10-07,2083.083740234375
2024-10-08,2119.7900390625
2024-10-09,2092.260498046875
2024-10-10,2092.260498046875
2024-10-11,2083.083740234375
2024-10-14,2128.966796875
2024-10-15,2156.496337890625
2024-10-16,2239.0859375
2024-10-17,2174.849609375
2024-10-18,2138.143310546875
2024-10-21,2138.143310546875
2024-10-22,2128.966796875
2024-10-23,2138.143310546875
2024-10-24,1954.611572265625
2024-10-25,1927.08203125
2024-10-28,1853.6693115234375
2024-10-29,1853.6693115234375
2024-10-30,1798.6097412109375
2024-10-31,1803.197998046875
2024-11-01,1794.021484375
2024-11-04,1716.0205078125
2024-11-05,1633.431396484375
2024-11-06,1610.4898681640625
2024-11-07,1592.1368408203125
